codigo;Tipo;Serviços contratados;unid;quant;Preço de compra total;Preço de compra unitario;Outras Despesas;Custo unitario;SERV.TERC.
01.012.000048;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 5000 mm / fluxo de veículos: baixo  / altura: 3000 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000049;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (fluxo de veículos: alto  / largura: 5000 mm / altura: 3000 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000050;SET;Portão automático em chapa de aço galvanizada, duas folhas, com chapas de aço tipo deck em posição vertical (largura: 4000 mm / fluxo de veículos: alto  / altura: 2100 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000051;SET;Portão automático de madeira, duas folhas, com lâminas de madeira tipo assoalho em posição vertical (altura: 3000 mm / fluxo de veículos: alto  / largura: 5000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000052;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (fluxo de veículos: alto  / largura: 3500 mm / altura: 1800 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000053;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (altura: 1800 mm / fluxo de veículos: baixo  / largura: 3500 mm / sistema de automação: basculante);UN;1,0;1;1;;1;;
01.012.000054;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (largura: 4000 mm / altura: 2100 mm / fluxo de veículos: baixo  / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000055;SET;Porta corta-fogo industrial automática, colocada, de correr, com contrapeso (área - intervalo: 1,00 a 2,50 m²);M²;1,0;1;1;;1;;
01.012.000056;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (fluxo de veículos: alto  / largura: 5000 mm / sistema de automação: basculante  / altura: 3000 mm);UN;1,0;1;1;;1;;
01.012.000057;SET;Portão automático de madeira, duas folhas, com lâminas de madeira tipo assoalho em posição vertical (fluxo de veículos: baixo  / altura: 1800 mm / largura: 3500 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000058;SET;Porta corta-fogo, colocada  (altura: 2,10 m / isolação: 90 min / largura: 0,80 m);UN;1,0;1;1;;1;;
01.012.000059;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (largura: 4000 mm / altura: 2100 mm / sistema de automação: basculante  / fluxo de veículos: alto );UN;1,0;1;1;;1;;
01.013.000001;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, uma folha fixa e uma móvel com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: alto ;UN;1,0;1;1;;1;;
01.013.000002;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, uma folha fixa e duas móveis com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: bai;UN;1,0;1;1;;1;;
01.013.000003;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, duas folhas fixas e quatro móveis com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas;UN;1,0;1;1;;1;;
01.013.000004;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, duas folhas fixas e quatro móveis com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas;UN;1,0;1;1;;1;;
01.013.000005;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, uma folha fixa e uma móvel com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: baixo;UN;1,0;1;1;;1;;
01.013.000006;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, uma folha fixa e uma móvel com vidro liso temperado (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: alto  / largura: 2500 mm / sistema de automação: deslizant;UN;1,0;1;1;;1;;
01.013.000007;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, uma folha fixa e uma móvel com vidro liso temperado (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: baixo  / largura: 2500 mm / sistema de automação: deslizan;UN;1,0;1;1;;1;;
01.013.000008;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, duas folhas fixas e duas móveis com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: ;UN;1,0;1;1;;1;;
01.013.000009;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, duas folhas fixas e duas móveis com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: ;UN;1,0;1;1;;1;;
01.013.000010;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, duas folhas fixas e duas móveis com vidro liso temperado (fluxo de pessoas: baixo  / espessura do vidro: 10 mm / altura: 2200 mm / largura: 3500 mm / sistema de automação: des;UN;1,0;1;1;;1;;
01.013.000011;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, duas folhas fixas e duas móveis com vidro liso temperado (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: alto  / largura: 3500 mm / sistema de automação: desl;UN;1,0;1;1;;1;;
01.013.000012;SET;Porta automática social, com abertura por sensor de microondas, uma fotocélula, uma folha fixa e duas móveis com vidro liso temperado, caixilho de alumínio com acabamento anodizado fosco (altura: 2200 mm / espessura do vidro: 10 mm / fluxo de pessoas: alt;UN;1,0;1;1;;1;;
01.015.000004;SET;Degrau de granito - colocado (cor: cinza andorinha  / espessura: 30,00 mm / largura: 300,00 mm);M;1,0;1;1;;1;;
01.015.000005;SET;Espelho para degrau de arenito - colocado (altura: 200,00 mm / espessura: 30,00 mm);M;1,0;1;1;;1;;
01.015.000006;SET;Espelho para degrau de mármore - colocado (altura: 200,00 mm / espessura: 20,00 mm / cor: espírito santo );M;1,0;1;1;;1;;
01.015.000007;SET;Espelho para degrau de granito - colocado (altura: 200,00 mm / espessura: 20,00 mm / cor: cinza andorinha );M;1,0;1;1;;1;;
01.015.000008;SET;Granito natural - colocado para pisos (espessura: 30,00 mm / cor: cinza andorinha );M²;1,0;1;1;;1;;
01.015.000009;SET;Mármore colocado, para pisos (cor: branco espírito santo  / espessura: 20,00 mm);M²;1,0;1;1;;1;;
01.015.000010;SET;Mosaico português colocado (cor: branco e preto );M²;1,0;1;1;;1;;
01.015.000011;SET;Rodapé de mármore - colocado  (altura: 100,00 mm / espessura: 15,00 mm / cor: branco espirito santo );M;1,0;1;1;;1;;
01.015.000012;SET;Soleira de granito - colocada  (cor: cinza andorinha  / largura: 150,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.015.000013;SET;Soleira de granito - colocada  (cor: cinza andorinha  / largura: 250,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.015.000014;SET;Soleira mármore - colocada  (espessura: 20,00 mm / largura: 150,00 mm / cor: branco espirito santo );M;1,0;1;1;;1;;
01.015.000015;SET;Soleira mármore - colocada  (cor: branco espirito santo  / largura: 250,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.015.000016;SET;Arenito em placas colocado (comprimento: 470,00 mm / espessura: 25,00 mm / largura: 470,00 mm);M²;1,0;1;1;;1;;
01.015.000017;SET;Caco de mármore polido - colocado  (espessura: 5,00 mm);M²;1,0;1;1;;1;;
01.015.000018;SET;Rodapé de arenito - colocado  (altura: 100,00 mm / espessura: 15,00 mm);M;1,0;1;1;;1;;
01.015.000019;SET;Degrau (piso) de granilite - colocado;M;1,0;1;1;;1;;
01.015.000020;SET;Fechamento lateral para piso elevado colocado em chapa de aço galvanizado (espessura: 28,00 mm / altura: 150,00 mm);M;1,0;1;1;;1;;
01.015.000021;SET;Degrau de arenito - colocado (espessura: 30,00 mm / largura: 300,00 mm);M;1,0;1;1;;1;;
01.015.000022;SET;Espelho para degrau de granilite - colocado;M;1,0;1;1;;1;;
01.015.000023;SET;Degrau de mármore - colocado (largura: 300,00 mm / cor: espirito santo  / espessura: 30,00 mm);M;1,0;1;1;;1;;
01.015.000024;SET;Carpete de madeira, colocado estruturado (largura: 190,00 mm / comprimento: 1200,00 mm / espessura: 8,00 mm);M²;1,0;1;1;;1;;
01.016.000002;SET;Peitoril de granito tipo reto Cinza Andorinha (largura: 150,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.016.000003;SET;Peitoril de mármore Espirito Santo (largura: 150,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.016.000004;SET;Peitoril de granito tipo reto Cinza Andorinha (largura: 250,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.016.000005;SET;Peitoril de mármore Espirito Santo (largura: 250,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.016.000006;SET;Pedra mineira São Thomé serrada (espessura: 20,00 mm);M²;1,0;1;1;;1;;
01.016.000007;SET;Rodapé de granito Cinza Andorinha (largura: 150,00 mm / espessura: 20,00 mm);M;1,0;1;1;;1;;
01.016.000008;SET;Piso de granilite granulometria nº 1 (espessura: 10,00 mm);M²;1,0;1;1;;1;;
01.016.000009;SET;Piso elevado com placas de aço revestidas com laminado melamínico texturizado  (comprimento: 620 mm / largura: 620 mm / espessura: 28 mm / resistência a carga concentrada: 450 kg / resistência a carga distribuída: 1.250 kg/m²);M²;1,0;1;1;;1;;
01.020.000001;SET;Forro de gesso acartonado - colocado , fixo com acabamento monolítico com perfis em aço galvanizado (espessura: 12,5 mm);M²;1,0;1;1;;1;;
01.020.000002;SET;Forro de gesso acartonado - colocado , removível com perfil "t" de aço galvanizado (comprimento: 620 mm / espessura: 12,5 mm / largura: 620 mm);M²;1,0;1;1;;1;;
01.020.000003;SET;Forro de gesso acartonado - colocado , removível com perfil "t" de aço galvanizado (comprimento: 1250 mm / espessura: 12,5 mm / largura: 620 mm);M²;1,0;1;1;;1;;
01.020.000004;SET;Forro de gesso acartonado - colocado , fixo, com acabamento monolítico suspenso por pendurais de arame galvanizado nº18 (espessura: 12,50 mm);M²;1,0;1;1;;1;;
01.020.000005;SET;Forro de gesso liso tipo bisotado encaixe macho-fêmea (comprimento da placa: 60 cm / espessura: 30 mm / largura da placa: 60 cm);M²;1,0;1;1;;1;;
01.023.000001;SET;Papel de parede com superfície lisa - colocado  (largura: 0,50 m);M²;1,0;1;1;;1;;
01.028.000001;SET;Elevador de serviço com porta de abertura lateral (acabamento: laminado plástico  / número de paradas: 15  / quantidade de passageiros: 6  / velocidade: 1,0 m/s);UN;1,0;1;1;;1;;
01.028.000002;SET;Elevador de serviço com porta de abertura lateral (acabamento: laminado plástico  / número de paradas: 15  / quantidade de passageiros: 12  / velocidade: 1,0 m/s);UN;1,0;1;1;;1;;
01.028.000003;SET;Elevador de serviço com porta de abertura lateral (acabamento: laminado plástico  / número de paradas: 15  / quantidade de passageiros: 18  / velocidade: 1,0 m/s);UN;1,0;1;1;;1;;
01.028.000004;SET;Elevador social com porta de abertura central, corrimão de alumínio e espelho (acabamento: aço inoxidável escovado  / número de paradas: 15  / quantidade de passageiros: 6  / velocidade: 1,6 m/s);UN;1,0;1;1;;1;;
01.028.000005;SET;Elevador social com porta de abertura central, corrimão de alumínio e espelho (acabamento: aço inoxidável escovado  / número de paradas: 15  / quantidade de passageiros: 12  / velocidade: 1,6 m/s);UN;1,0;1;1;;1;;
01.028.000006;SET;Elevador social com porta de abertura central, corrimão de alumínio e espelho (número de paradas: 15  / acabamento: aço inoxidável escovado  / quantidade de passageiros: 18  / velocidade: 1,6 m/s);UN;1,0;1;1;;1;;
03.002.000001;MOE;Corte de perfil metálico perfil "I" 10" (espessura: 7,90 mm / massa linear: 37,80 kg/m / largura nominal: 118,40 mm / altura nominal: 254,00 mm);UN;1,0;1;1;;1;;
03.002.000002;MOE;Corte de perfil metálico perfil "I" 12" (largura nominal: 133,40 mm / altura nominal: 104,80 mm / espessura: 11,70 mm / massa linear: 60,70 kg/m);UN;1,0;1;1;;1;;
03.002.000003;MOE;Corte de perfil metálico perfil "I" 10" duplo (espessura: 11,70 mm / largura nominal: 118,40 mm / altura nominal: 304,80 mm / massa linear: 37,80 kg/m);UN;1,0;1;1;;1;;
03.002.000004;MOE;Corte de perfil metálico perfil "I" 12" duplo (largura nominal: 133,40 mm / altura nominal: 304,80 mm / espessura: 11,70 mm / massa linear: 60,70 kg/m);UN;1,0;1;1;;1;;
03.003.000001;MOE;Cravação de estaca metálica perfil "I" (altura nominal: 10 " / espessura: 7,90 mm / largura nominal: 118,40 mm / massa linear: 37,80 kg/m);M;1,0;1;1;;1;;
03.003.000002;MOE;Cravação de estaca metálica perfil "I" (massa linear: 60,70 kg/m / altura nominal: 12 " / espessura: 11,70 mm / largura nominal: 133,40 mm);M;1,0;1;1;;1;;
03.004.000001;MOE;Execução de piso cimentado;M²;1,0;1;1;;1;;
03.005.000001;MOE;Serviço de corte/dobra industrializado para aço CA 50/60;KG;1,0;1;1;;1;;
03.006.000001;MOE;Execução de alvenaria de vedação com blocos cerâmicos 9 x19 x19 cm;M²;1,0;1;1;;1;;
03.006.000002;MOE;Execução de alvenaria com tijolo comum 5,7 x 9 x 19 cm;M²;1,0;1;1;;1;;
03.006.000003;MOE;Execução de alvenaria estrutural com blocos cerâmicos 14 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000004;MOE;Execução de alvenaria estrutural com blocos cerâmicos 19 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000005;MOE;Execução de alvenaria de vedação com blocos de concreto 6,7 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000006;MOE;Execução de alvenaria de vedação com blocos de concreto 9 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000007;MOE;Execução de alvenaria de vedação com blocos de concreto 11,5 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000008;MOE;Execução de alvenaria de vedação com blocos de concreto 14 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000009;MOE;Execução de alvenaria de vedação com blocos de concreto 19 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000010;MOE;Execução de alvenaria estrutural com blocos de concreto 14 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.006.000011;MOE;Execução de alvenaria estrutural com blocos de concreto 19 x 19 x 39 cm;M²;1,0;1;1;;1;;
03.007.000001;MOE;Impermeabilização com emulsão asfáltica;M²;1,0;1;1;;1;;
03.007.000002;MOE;Impermeabilização com manta asfáltica;M²;1,0;1;1;;1;;
03.008.000002;MOE;Instalação especializada com massa de vidro;M²;1,0;1;1;;1;;
03.008.000003;MOE;Instalação especializada de divisórias;M²;1,0;1;1;;1;;
03.009.000001;MOE;Pintura com tinta óleo com três demãos;M²;1,0;1;1;;1;;
03.009.000002;MOE;Pintura com tinta látex com duas demãos;M²;1,0;1;1;;1;;
03.009.000003;MOE;Pintura com tinta látex com três demãos;M²;1,0;1;1;;1;;
03.009.000004;MOE;Pintura com tinta óleo com duas demãos;M²;1,0;1;1;;1;;
03.010.000002;MOE;Aplicação de gesso em parede ou teto;M²;1,0;1;1;;1;;
03.010.000003;MOE;Aplicação de massa corrida com duas demãos;M²;1,0;1;1;;1;;
03.011.000002;MOE;Assentamento de piso cerâmico de porcelanato;M²;1,0;1;1;;1;;
03.011.000003;MOE;Assentamento de pastilhas;M²;1,0;1;1;;1;;
03.011.000004;MOE;Assentamento de piso cerâmico;M²;1,0;1;1;;1;;
03.011.000005;MOE;Assentamento de azulejos;M²;1,0;1;1;;1;;
03.012.000001;MOE;Instalação de forro;M²;1,0;1;1;;1;;
03.014.000001;MOE;Execução de reboco em parede externa;M²;1,0;1;1;;1;;
03.014.000002;MOE;Execução de reboco em parede interna;M²;1,0;1;1;;1;;
03.014.000003;MOE;Execução de reboco em teto;M²;1,0;1;1;;1;;
03.015.000002;MOE;Execução de chapisco em parede interna;M²;1,0;1;1;;1;;
03.015.000003;MOE;Execução de chapisco em parede externa;M²;1,0;1;1;;1;;
03.015.000004;MOE;Execução de chapisco em teto;M²;1,0;1;1;;1;;
03.016.000002;MOE;Execução de emboço em parede interna;M²;1,0;1;1;;1;;
03.016.000003;MOE;Execução de emboço em parede externa;M²;1,0;1;1;;1;;
03.016.000004;MOE;Execução de emboço em teto;M²;1,0;1;1;;1;;
03.021.000001;MOE;Execução de textura acrílica;M²;1,0;1;1;;1;;
03.023.000001;MOE;Serviço de montagem e instalação de elevador de obra sistema pinhão (altura da torre: 10,00 m);UN;1,0;1;1;;1;;
03.023.000002;MOE;Serviço de montagem e instalação de elevador de obra tração a cabo de aço (altura da torre: 10,00 m);UN;1,0;1;1;;1;;
03.024.000001;MOE;Serviço de desmontagem de elevador de obra sistema pinhão (altura da torre: 10,00 m);UN;1,0;1;1;;1;;
03.024.000002;MOE;Serviço de desmontagem de elevador de obra tração a cabo de aço (altura da torre: 10,00 m);UN;1,0;1;1;;1;;
06.003.000001;SER;Preparo de areia para argamassas-areia média - secagem e peneiramento;M³;1,0;1;1;;1;;
